"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Extractor 1 1","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://refinelabs.com/","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","166","166","166","0.000","A+","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.183","","https://www.refinelabs.com/","HTTP Redirect","","","","","","","","","","https://refinelabs.com/","2026-02-20 09:15:46"
"https://www.refinelabs.com/","text/html; charset=utf-8","200","","Indexable","","Refine Labs | Leading B2B Demand Generation Agency","50","485","We focus on primary business growth and scale drivers like pipeline, sales velocity, revenue, and CAC.","102","620","","0","Modernize your B2B growth strategy","34","","0","Trusted by the Best in B2B","26","Optimize Strategies, Maximize ROI","33","","","","https://www.refinelabs.com/","","","","","","42802","11277","2502457","958.644","F","668","119","5.613","58.660","Fairly Hard","7.361","1","0","","36","34","0","100.000","58","37","18","5","5","1","","","","","baf9261a81fdedba58f3786f1825e6bb","0.262","Fri, 20 Feb 2026 07:42:13 GMT","","","","en","2.0","","","","","","","https://www.refinelabs.com/","2026-02-20 09:15:46"
"https://www.refinelabs.com/privacy-policy?","text/html; charset=utf-8","200","","Non-Indexable","Canonicalised","Privacy Policy","14","123","Discover how Refine Labs values privacy, collects data, and safeguards information on its website. Learn about data collection, usage, security, and your rights as a user.","171","1042","","0","Privacy Policy","14","","0","","0","","0","","","","https://www.refinelabs.com/privacy-policy","","","","","","31068","10617","1020482","390.927","C","1806","265","6.815","56.810","Fairly Hard","23.241","2","0","","36","34","36","100.000","48","33","16","5","5","1","","","","","4c2e1b37cbc29b026e5a376e3d985cb8","0.053","Thu, 19 Feb 2026 09:05:43 GMT","","","","en","2.0","","","","","","","https://www.refinelabs.com/privacy-policy?","2026-02-20 09:15:58"
"https://www.refinelabs.com/careers","text/html; charset=utf-8","200","","Indexable","","Careers","7","70","Join Refine Labs, the top B2B Marketing Agency for SaaS companies. Drive innovation, embrace diversity, and enjoy premium benefits. Apply now!","142","899","","0","Drive innovation at the top B2B SaaS agency.","44","How we thrive ‍together","23","Non Negotiables","15","Benefits","8","","","","https://www.refinelabs.com/careers","","","","","","34484","10992","1149053","440.180","C","1035","173","5.983","70.879","Fairly Easy","11.527","2","0","","36","34","0","100.000","48","33","16","7","6","1","","","","","d482ce33194ed0c91de0a45327493aad","0.118","Thu, 19 Feb 2026 18:42:41 GMT","","","","en","2.0","","","","","","","https://www.refinelabs.com/careers","2026-02-20 09:15:59"
"https://www.refinelabs.com/start-your-transformation","text/html; charset=utf-8","200","","Indexable","","Book a Call | Meet with Refine Labs","35","313","Develop and predictably launch proven revenue programs. Schedule a call to start your B2B marketing journey today.","114","720","","0","Meet with an expert.","20","","0","Trusted by the Best in B2B","26","Customer Stories","16","","","","https://www.refinelabs.com/start-your-transformation","","","","","","29687","8299","1422162","544.803","D","318","56","5.679","70.447","Fairly Easy","4.390","2","0","","93","34","0","100.000","48","33","16","5","5","1","","","","","de4392581664527244a95a517c379f6","0.151","Thu, 19 Feb 2026 18:17:43 GMT","","","","en","2.0","","","","","","","https://www.refinelabs.com/start-your-transformation","2026-02-20 09:15:58"
"https://www.refinelabs.com/megan-bowen","text/html; charset=utf-8","200","","Indexable","","Megan Bowen | Refine Labs CEO","29","289","Discover how Megan Bowen, CEO of Refine Labs, is transforming B2B demand generation. With 20 years of experience scaling go-to-market teams, Megan’s leadership philosophy centers on empowering teams and fostering long-term customer relationships for meaningful results.","269","1727","","0","Refine Labs CEO","15","","0","Megan’s Perspective on Refine Labs and Its Influence","52","Why are we different?","21","","","","https://www.refinelabs.com/megan-bowen","","","","","","29271","9476","1022781","391.808","C","681","96","7.094","64.101","Normal","8.843","2","0","","36","34","0","100.000","48","33","16","5","5","1","","","","","892236ef6fa401f3284fda9004e56b47","0.145","Thu, 19 Feb 2026 18:17:43 GMT","","","","en","2.0","","","","","","","https://www.refinelabs.com/megan-bowen","2026-02-20 09:15:59"
"https://www.refinelabs.com/marketing-demand-services","text/html; charset=utf-8","200","","Indexable","","Marketing & Demand Services | Refine Labs","41","388","Marketing & Demand Generation Services. Strategy aligned to how B2B customers actually buy.","91","590","","0","Brand","5","Demand","6","THE WAY WE BUY HAS CHANGED","26","Our Philosophy","14","","","","https://www.refinelabs.com/marketing-demand-services","","","","","","48378","13113","1120086","429.084","C","997","196","5.087","64.886","Normal","9.834","2","0","","76","34","0","100.000","56","35","17","5","5","1","","","","","34acf30d2804161d8ec3debeb82f5c14","0.146","Thu, 19 Feb 2026 00:24:02 GMT","","","","en","2.0","01Step OneStep 1Assess The SituationFind What WorksFocus on proven drivers of growthCut the WasteStop funding underperforming areasSet Your PathPrioritize key actions for impactMake the CaseAlign budget with expected outcomes02Step TwoStep 2Implement changeFix Data IssuesEnsure accurate tracking & reportingCapture More DemandBoost lead conversion on site & salesDrive New DemandUse both paid and organic strategiesRefine Your MessageAlign creative and brand messaging to resonate with your audience03Step ThreeStep 3Grow EfficientlyDouble Down on SuccessExpand what's already workingGet More from CustomersIncrease revenue from existing clientsReach New MarketsTarget untapped customer segmentsExpand ReachUse new channels to find more buyers","","","","","","https://www.refinelabs.com/marketing-demand-services","2026-02-20 09:15:59"
"https://www.refinelabs.com/success-stories/clari","text/html; charset=utf-8","200","","Indexable","","Refine Labs","11","105","","0","0","","0","Clari Revamps GTM Strategy With Refine Labs,","44","","0","About Clari: Predict. Accelerate. Win.","38","Ready to Grow Your Revenue?","27","","","","https://www.refinelabs.com/success-stories/clari","","","","","","21915","8139","1013673","388.319","C","449","73","6.151","66.815","Normal","7.325","2","1","","5","4","0","11.760","50","34","16","5","5","1","","","","","29d1b8d5ec08cc342ab48d6c2b0b66e9","0.068","Wed, 18 Feb 2026 18:51:08 GMT","","","","en","2.0","","","","","","","https://www.refinelabs.com/success-stories/clari","2026-02-20 09:16:06"
"https://www.refinelabs.com/careers?","text/html; charset=utf-8","200","","Non-Indexable","Canonicalised","Careers","7","70","Join Refine Labs, the top B2B Marketing Agency for SaaS companies. Drive innovation, embrace diversity, and enjoy premium benefits. Apply now!","142","899","","0","Drive innovation at the top B2B SaaS agency.","44","How we thrive ‍together","23","Non Negotiables","15","Benefits","8","","","","https://www.refinelabs.com/careers","","","","","","34484","10859","1145274","438.733","C","1035","173","5.983","70.879","Fairly Easy","11.527","2","0","","36","34","36","100.000","48","33","16","7","6","1","","","","","b6c1700de651f4db89a0988ca3657973","0.048","Wed, 18 Feb 2026 18:10:24 GMT","","","","en","2.0","","","","","","","https://www.refinelabs.com/careers?","2026-02-20 09:16:06"
"https://www.refinelabs.com/weekly-newsletter?","text/html; charset=utf-8","200","","Non-Indexable","Canonicalised","Lab Report | Subscribe Weekly Newsletter","40","372","Subscribe to our weekly Lab Report e-mail to get all Refine Labs updates and event links in one place.","102","619","","0","Subscribe  to the Weekly Lab report","35","","0","","0","","0","","","","https://www.refinelabs.com/weekly-newsletter","","","","","","16179","5823","1175409","450.277","C","84","20","4.200","69.629","Normal","1.902","2","0","","36","34","36","100.000","48","33","16","5","5","1","","","","","64748bc0484c2cbc4bf729f7b67bd88a","0.061","Fri, 20 Feb 2026 01:45:47 GMT","","","","en","2.0","","","","","","","https://www.refinelabs.com/weekly-newsletter?","2026-02-20 09:16:06"
"https://www.refinelabs.com/the-vault","text/html; charset=utf-8","200","","Indexable","","The Vault | Full Documentation to Implement Refine Labs Methodology","67","630","Implement the entire Refine Labs Methodology with detailed, documentation for everything from paid media best practices to revenue forecasting and ROI reporting.","161","1013","","0","Build a Modern Demand Engine with The Vault","43","","0","Trusted by the Best in B2B","26","Get to What Works Faster","24","","","","https://www.refinelabs.com/the-vault","","","","","","52956","13384","1111299","425.718","C","1413","229","6.170","68.014","Normal","11.819","2","0","","71","34","0","100.000","51","35","17","9","7","2","","","","","f74d144c1d1967e6e36fee308bf1a19c","0.047","Wed, 18 Feb 2026 20:27:34 GMT","","","","en","2.0","","","","","","","https://www.refinelabs.com/the-vault","2026-02-20 09:16:06"
